Rowid,Country,State lgd code,State,Year,Factories,Fixed capital amount,Productive capital amount,Invested capital amount,Factory workers,Persons engaged,Wages payed to the workers,Emoluments payed to the workers,Cost of production or total input,Value of production or total output,Depreciation amount,Factory net value added,Rent paid by factories,Interest paid by factories
1,India,1,Jammu And Kashmir,2017-18,996.71359855619456417053,900138.99557302742570260742,1406665.12946853524458861066,1332206.02644940692760831878,56736.38104440830784564435,71890.53588487064580707126,65115.03529880709355387277,134574.92025883755929032208,2510265.74658157502307598365,3216506.28926334761734210349,79459.29920737097312557132,626782.22160354642604198539,4031.84833488580372277814,52462.93481075569346795932
2,India,2,Himachal Pradesh,2017-18,2671,4534824,5828268,5849113,146633,205781,237723,624412,7966319,11291885,361190,2964376,26668,231310
3,India,3,Punjab,2017-18,12726,4725230,8180831,8660706,569266,708232,704126,1287757,18056120,21210410,474844,2679446,42976,428878
4,India,4,Chandigarh,2017-18,233,103779,163242,162600,5414,9424,12254,35641,415725,486470,8855,61891,2294,6469
5,India,5,Uttarakhand,2017-18,2998,5842010,7804143,8054019,339694,426587,469525,963719,18641893,23618613,530907,4445813,27787,318175
6,India,6,Haryana,2017-18,8891,11801700,15369734,17973079,674373,858313,1056017,2518243,43118410,50333586,1207775,6007400,169173,655259
7,India,7,Delhi,2017-18,3432,641472,1151644,1303627,68630,102248,114705,293025,4027708,4655142,71653,555781,41950,80495
8,India,8,Rajasthan,2017-18,9212,10937405,14396163,15286579,432434,556103,677401,1477445,24566286,29745019,930119,4248614,84137,717972
9,India,9,Uttar Pradesh,2017-18,15830,13845026,17634483,21692859,839121,1070841,1149121,2654962,43032444,51463543,1145568,7285531,136927,1252300
10,India,10,Bihar,2017-18,3461,1997672,2298576,2642616,104057,121772,92819,164551,5242202,6002667,120058,640408,4995,76911
11,India,11,Sikkim,2017-18,82,705218,1010273,890869,15069,19659,28768,67252,694393,1836037,77539,1064105,1513,2724
12,India,12,Arunachal Pradesh,2017-18,117,19343,35976,33113,2671,3298,2393,4089,84207,99998,3585,12206,1097,651
13,India,13,Nagaland,2017-18,186,20764,39428,32133,5227,6004,2917,3810,39617,54104,1320,13167,246,236
14,India,14,Manipur,2017-18,191,15929,17968,22625,7334,8532,4810,6036,31824,42083,1883,8376,41,1053
15,India,16,Tripura,2017-18,607,45161,63498,76863,23393,26632,9528,13734,120572,155929,4878,30480,608,4231
16,India,17,Meghalaya,2017-18,133,361974,431938,495077,10758,12689,13586,28240,404219,568899,42279,122400,658,33370
17,India,18,Assam,2017-18,4538,2733666,3639827,3660320,180489,217155,142725,287817,5154627,6732646,213143,1364876,13247,77162
18,India,19,West Bengal,2017-18,9534,11743291,14026860,16923715,516740,663751,781597,1529343,27391759,31912464,805336,3715370,112159,727412
19,India,20,Jharkhand,2017-18,2866,10547093,11348741,12682788,153026,192282,398932,754377,11138310,14153289,673144,2341836,39451,490080
20,India,21,Odisha,2017-18,3066,33907302,30373705,37714048,229036,279496,506918,923326,18895455,22997037,1403094,2698489,31972,1714200
21,India,22,Chhattisgarh,2017-18,3352,11276704,11650781,13233410,147310,185805,310328,601571,10604081,12560528,506905,1449542,55329,805927
22,India,23,Madhya Pradesh,2017-18,4533,15416401,16577799,19274964,281063,378022,432998,1007889,20824573,25723164,906731,3991861,37513,749324
23,India,24,Gujarat,2017-18,26586,67266206,71894406,86313999,1403204,1826748,2239676,5085110,113920424,135997115,3772632,18304059,178626,3309927
24,India,27,Maharashtra,2017-18,26393,35844136,47559377,53725099,1414565,2007794,2836521,7534324,94108687,119971795,3490707,22372401,429425,2272969
25,India,28,Andhra Pradesh,2017-18,16296,18444500,19878183,23994086,486846,597292,816315,1413502,26499187,31121259,1085803,3536269,64744,746800
26,India,29,Karnataka,2017-18,13518,19018695,24563385,26857251,828689,1065346,1573476,3323933,42675431,52893789,1496452,8721906,220973,985068
27,India,30,Goa,2017-18,715,1055445,2452079,1840228,51377,76214,115832,307252,3499376,5044696,133597,1411722,11784,52281
28,India,32,Kerala,2017-18,7649,4346595,6290710,6169720,241789,310326,398162,728747,14173049,16356600,296340,1887210,29699,205148
29,India,33,Tamil Nadu,2017-18,37787,27754189,38986490,40448082,2095223,2523483,2907651,5752881,69972582,86380870,2706733,13701555,278027,1748595
30,India,34,Puducherry,2017-18,681,447633,878077,785802,39738,51816,59036,139324,2508208,3069202,60198,500796,5972,25228
31,India,35,Andaman And Nicobar Islands,2017-18,18,2142,833,3449,249,324,419,676,13314,14328,354,659,28,52
32,India,36,Telangana,2017-18,15263,8101026,12681281,12123370,669220,794520,854284,1579695,17523505,22240202,767956,3948741,59237,443777
33,India,37,Ladakh,2017-18,22.28640144380543582947,20127.00442697257429739258,31452.87053146475541138934,29787.97355059307239168122,1268.61895559169215435565,1607.46411512935419292874,1455.96470119290644612723,3009.07974116244070967792,56129.25341842497692401635,71920.71073665238265789651,1776.70079262902687442868,14014.77839645357395801461,90.15166511419627722186,1173.06518924430653204068
34,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017-18,3100.00000000000000000000,4166130.00000000000000000000,4334002.00000000000000000000,5806277.00000000000000000000,183782.00000000000000000000,234631.00000000000000000000,262937.00000000000000000000,585450.00000000000000000000,12609313.00000000000000000000,15195460.00000000000000000000,346811.00000000000000000000,2239336.00000000000000000000,33983.00000000000000000000,550758.00000000000000000000
